title,description,salary,date_posted
The Hartford,Principal Data Engineer - EDS Platforms - Hybrid,"$148,320 - $222,480 a year",17 days ago
Leidos,Litigation Support Data Specialist II,$38.68 an hour,6 days ago
Capital One,"Manager, Data Scientist - Business Card & Payments","$201,400 - $229,900 a year",1 day ago
CCC Intelligent Solutions,Data Science Intern,$20 - $43 an hour,3 days ago
"Walmart, Inc","Senior Manager, Data Analytics","$117,000 - $234,000 a year",30+ days ago
Booz Allen Hamilton,"Information, Data, and Process Management Analyst","$75,600 - $172,000 a year",20 days ago
InGenesis,Data Entry Specialist,$26 - $34 an hour,Today
International Rescue Committee,Monitoring and Data Coordinator,$24.50 - $32.45 an hour,1 day ago
General Dynamics Corporation,Data Scientist (ETL) - TS/SCI W/Poly,"$80,000 - $100,000 a year",12 days ago
Mastercard,"Vice President, Data Scientist","$230,000 - $368,000",17 days ago
Kforce Technology Staffing,"Remote Director, Azure Data Engineering (Hands-on)","$150,000 - $160,000 a year",12 days ago
Looper Insights,Data Engineer,"$40,000 - $65,000 a year",5 days ago
US News,"Product & Data Analyst, HDI","$125,000 - $150,000 a year",12 days ago
Flagright,Data Science Intern (Phd),"$1,000 - $5,000",26 days ago
Deutsche Bank,Data Scientist Anti-Financial Crime Data Analytics - Vice President,"$100,000 - $145,500 a year",4 days ago
Saxon Global,Data Center Manager,"$125,000 - $150,000 a year",12 days ago
Leidos,Data Center Manager Engineer,"$108,550 - $196,225 a year",22 days ago
PrismHR,Data Engineer,"$110,000 - $130,000 a year",1 day ago
TriNet,Principal Data Scientist,"$150,000 - $200,000 a year",12 days ago
Careerbuilder,Data Product Manager (Remote) at Ezcater,"$136,000 - $171,000 a year",30+ days ago
Winterthur Search Fund,Data Center Solutions Engineer,"$80,000 - $100,000 a year",12 days ago
GeoBlue,Business and Data Analyst - Compliance,"$57,411 - $73,199",6 days ago
Job On Remote Online USA,Data Entry Operator I,$27 - $50 an hour,27 days ago
FreeUp,Remote Data Entry Specialist,$8 - $15 an hour,27 days ago
CVS Health,"Data Scientist - Payment Accuracy, Medicaid","$82,915 - $175,100 a year",3 days ago
"Univision Communications, Inc",Senior Data Science Engineer - Customer Profile,"$140,000 - $180,000 a year",1 day ago
tanishasystems,Remote - Data Architect with P&C Insurance Domain Experience,$65 - $70 an hour,1 day ago
CircleCI,Senior Marketing Data Analyst,"$118,000 - $170,000 a year",2 days ago
Replica Inc,Software Engineer Intern (Data Access),$40 - $45 an hour,5 days ago
Atlassian,"Senior Data Scientist, Marketing","$175,100 - $233,400 a year",15 days ago
Russell Tobin,Data Analyst,$25 - $35 an hour,2 days ago
randstad,Data Entry Clerk - Hybrid - Contract,$15 - $16 an hour,Today
Vector Talent Resources,591 Data Integration Engineer TS SCI,"$150,000 a year",25 days ago
Harnham,Secret/Top Secret Cleared Senior Data Scientist,"$140,000 - $170,000 a year",2 days ago
CVS Health,Principal Data Engineer,"$144,200 - $288,400 a year",30+ days ago
Brooksource,Data Center Network Architect,"$120,000 - $150,000 a year",2 days ago
Optum,Data Warehouse Developer - Remote,"$88,000 - $173,200 a year",Today
Integrated Data Services,OASD NCB - Business Data Analyst,"$110,000 - $150,000 a year",21 days ago
PANGEATWO,Data Architect,"$130,000 - $155,000 a year",1 day ago
Xometry,Senior Data Scientist,"$150,000 - $200,000 a year",12 days ago
Visa,"Senior Manager, Data Analytics for Installments","$147,700 - $214,150 a year",1 day ago
,Part-Time Data Visualist (25 Hours/Week),"$40,000 - $45,000 a year",Today
MERU,"Principal Solutions Architect, Data Insights","$170,000 - $190,000 a year",4 days ago
"WiredPeople, Inc",Data Epidemiologist,"$50,000 - $53,000 a year",9 days ago
Jobot,Principal Data Scientist,"$200,000 - $250,000 a year",12 days ago
"Neudesic, an IBM Company",Senior Consultant - Data & Analytics,"$100,000 - $125,000 a year",12 days ago
"Neudesic, an IBM Company",Senior Consultant - Data & AI,"$125,000 - $150,000 a year",12 days ago
GRAIL,Staff Data Engineer (San Diego) #3378,"$180,000 - $202,000 a year",28 days ago
M247,Senior Data Center Network Engineer/Architect,$85 - $115 an hour,Today
ManTech International,Lead Data Analyst- Hybrid,"$121,800 - $204,100 a year",27 days ago
Marriott,"Sr. Manager, Product Engineering - Data Loss Prevention","$96,038 - $209,169 a year",Today
Capital One,"Senior Process Manager, Data Management","$103,900 - $118,600 a year",Today
V-Soft Consulting Group,SAP Master Data Governance Consultant - Functional Expert,"$100,000 - $125,000 a year",12 days ago
UnitedHealth Group,Sr. Data Analyst - Remote,"$88,000 - $173,200 a year",2 days ago
Salesforce,Lead Decision Scientist - Data and Analytics,"$125,700 - $243,100 a year",7 days ago
Publicis Sapient,Senior Associate Data Engineer - Azure Cloud,"$103,000 - $154,000 a year",1 day ago
Stanford University,Research Data Analyst 2,"$72,000 - $103,000",1 day ago
Northrop Grumman,Sr. Principal Data Scientist and Principal Data Scientist (Active...,"$146,300 - $219,500 a year",4 days ago
Control Risks,Data Scientist,"$100,000 - $125,000 a year",12 days ago
LinkedIn,"Senior Manager, Data Science - Strategy & Insights","$157,000",1 day ago
"Campus Pride, Inc",Data Warehouse Engineer - 100% Remote Opportunity,"$150,000 - $200,000 a year",12 days ago
Leidos,Data Center Manager Level 3,"$108,550 - $196,225 a year",4 days ago
Shift Technology,Data Scientist / Engineer,"$100,000 - $110,000 a year",12 days ago
,"PGIM Fixed Income - Vice President, Senior Azure Data Architect","$150,000 - $225,000 a year",Today
Ramp,Staff Data Scientist | Product,"$225,250 - $265,000 a year",6 days ago
LinkedIn,Engineering Director- Data Curation and Annotation,"$207,000 - $340,000",2 days ago
Capstone IT Staffing,Data Governance Manager,"$170,000 - $200,000 a year",2 days ago
Tekfortune,"Big Data Engineer | Mississauga, Canada","$120,000 - $130,000 a year",3 days ago
Etsy,"Staff Engineer I, Data Engineering","$185,000 - $217,000 a year",4 days ago
MD Anderson,"Senior Coordinator, Research Data","$41,500 - $52,000 a year",11 days ago
Library Systems & Services,Data Scientist,"$80,000 - $100,000 a year",12 days ago
Russell Tobin,Senior Data Engineer,$60 - $72,2 days ago
DocuSign,Data Operations Manager (8 Month Contract),"$70,067 - $107,850 a year",Today
Ignite Fueling Innovation,Geospatial Intelligence Integration Specialist/ Data Scientist,"$125,000 - $175,000 a year",4 days ago
Capital One,Lead Data Engineer,"$201,400 - $229,900 a year",4 days ago
VRChat Inc,Data Engineer,"$150,000 - $200,000 a year",12 days ago
Centene Corporation,Data Engineer I,$25.00 - $44.85 an hour,1 day ago
Visa,Data Engineer - Sr. Consultant Level,"$137,300 - $219,700 a year",1 day ago
Job On Remote Online USA,Data Entry Clerk/Campus,$20.5 - $28.0 an hour,27 days ago
Carta Healthcare,Clinical Data Abstractor - Cardiology - AFIB - Part-Time,$28 - $32 an hour,Today
Carta Healthcare,Clinical Data Abstractor - TVT/LAAO - Part Time,$28 - $32 an hour,Today
Genesis10,Big Data Engineer: Teradata/Informatica,$58 - $66,4 days ago
Memorial Blood Centers,Senior Data Engineer,"$125,000 - $135,000 a year",1 day ago
Massachusetts Bay Transportation Authority,"Manager, EEO Systems and Data Analysis","$67,540 - $85,000 a year",1 day ago
State of Connecticut,Data Scientist,"$100,000 - $125,000 a year",12 days ago
Arkansas Food Bank,Data Systems Intern,$16 an hour,1 day ago
Saxon Global,DATA Architect,$90 an hour,1 day ago
Phaxis,Data Engineer (Azure),"$110,000 - $140,000 a year",2 days ago
Tekfortune Inc,"Big Data Engineer | Mississauga, Canada","$120,000 - $130,000 a year",4 days ago
Fidelity Investments,"Vice President, Quant Data Engineering","$124,000 - $262,000 a year",8 days ago
WES,"Sr. Analyst, Business Research and Data Intelligence (Remote)","$105,000 - $115,000 a year",9 days ago
Helm.ai,Data Labeling Manager,"$150,000 - $200,000 a year",12 days ago
Redwood Materials,Staff Data Scientist,"$150,000 - $200,000 a year",12 days ago
University of Texas,"Data Visualization Analyst, Dell Medical School","$62,128 a year",6 days ago
Meta,Data Engineer,"$191,373 - $235,400 a year",1 day ago
META,Data Engineer,"$191,373 - $235,400 a year",1 day ago
Carta Healthcare,Clinical Data Abstractor - VQI - Part Time,$28 - $32 an hour,4 days ago
Circle,Compliance Data & Reporting Manager,"$125,000 - $150,000 a year",12 days ago
NiSource,Sr. Test Data Management Engineer,"$91,000 - $136,600 a year",30+ days ago
Capital One,"Principal Data Scientist, Consumer Identity Machine Learning","$165,100 - $188,500 a year",1 day ago
Publicis Sapient,Senior AWS Data Engineering Architect,"$147,000 - $200,000 a year",10 days ago
Experis,Data Warehouse Mainframe Lead,$60 - $65 an hour,1 day ago
Univision communications Inc,"Director, Data Science - Personalization & Product Analytics","$200,000 - $250,000 a year",12 days ago
Booz Allen Hamilton,Data Scientist and Visualization Specialist,"$96,600 - $220,000 a year",21 days ago
Rhode Island Blood Center,Senior Data Engineer,"$125,000 - $135,000 a year",2 days ago
Discord,Senior Software Engineer - Data Platform,"$183,000 - $201,500 a year",5 days ago
University of Texas M.D. Anderson,"Coordinator, Research Data - GI Medical Oncology","$36,000 - $45,000 a year",1 day ago
Trimble,Customer Segment Data Scientist,"$99,700 a year",29 days ago
Cotiviti,Data Analyst I,"$63,500 - $88,500 a year",3 days ago
ServiceNow,Senior Staff Software Engineer - Data Platform,"$173,400 - $303,600",3 days ago
Tential,Data Architect,"$150,000 - $200,000 a year",12 days ago
Tidepool,Data Science Intern,$20 - $40 an hour,2 days ago
Data Entry Direct,Work at Home - Data Entry / Customer Service,"$15,000 a month",4 days ago
Turn/River Capital,"Revenue Operations, Data Scientist","$140,000 a year",4 days ago
Capital One,"Manager, Data Scientist, Transaction Intelligence","$201,400 - $229,900 a year",12 days ago
Capital One,Senior Data Engineer,"$165,100 - $188,500 a year",7 days ago
Quartz,Devops Analyst - Enterprise Data Warehouse,"$77,200 - $90,000 a year",3 days ago
SRI International,Computer and Data Science Intern,$23 - $35 an hour,Today
Form Energy,Staff Data Platform Engineersoftware Engineering * Remote * Full Time,"$143,000 - $200,000 a year",Today
LinkedIn,Staff Data Scientist - Inference & Algorithms,"$156,000 - $255,000",2 days ago
Accenture,Data Privacy Compliance Counsel,"$127,500 - $203,999 a year",20 days ago
Workday,"Principal, Data Informatics","$147,900 - $222,100 a year",Today
MUFG,"Data Governance, VP","$130,000 - $155,000 a year",1 day ago
Cloud Destinations LLC,Data Center Technician,$35 - $40 an hour,16 days ago
Leidos,Data Entry Technician,$16.20 an hour,16 days ago
Compunnel Inc,Data Scientist,"$80,000 - $100,000 a year",12 days ago
State Street,"Technology Delivery Lead - Chief Data Office, Managing Director","$170,000 - $267,500 a year",14 days ago
GEICO,Principal Engineer II - Data Lakehouse,"$110,000 - $236,500 a year",3 days ago
LinkedIn,Senior Data Scientist - Inference & Algorithms,"$128,000 - $210,000",1 day ago
Uniswap Labs,"Senior Data Scientist, Product","$136,000 - $187,000 a year",1 day ago
Booz Allen,"Human Capital Data Analyst, Mid","$75,600 - $172,000 a year",1 day ago
CVS Health,"Associate Cloud Data Engineer ( SQL , Python , ETL, Cloud )","$64,890 - $131,800 a year",3 days ago
Capital One,"Manager, Data Science - Consumer Identity Machine Learning","$201,400 - $229,900 a year",5 days ago
Department Of Homeland Security,Data Science - Developmental,"$80,800 - $105,500 a year",Today
MD Anderson,Sr Data Science Analyst - Facilities Mgt. Tech & Training,"$85,000 - $106,500 a year",11 days ago
,"Vice President, US Wealth Advisory Data & Technology Platform...","$137,500 - $194,000 a year",Today
1872 Consulting,Senior Data Architect - Data Modeling Focus,"$150,000 - $200,000 a year",12 days ago
GoodRx,"Manager, Data Science","$202,000 - $323,000",6 days ago
Oak Street Health,"Principal/Lead/Senior/Mid Level, Data Engineering - Remote","$55,000 - $165,000 a year",1 day ago
Hilton,Lead Data Modeling Engineer,"$110,000 - $155,000",10 days ago
Motion Recruitment Partners,Senior Product Designer - Data - Remote,$65 an hour,1 day ago
Booz Allen Hamilton,"Data Visualization Developer, Mid (Security Clearance Required)","$60,300 - $137,000 a year",11 days ago
"Technogen, Inc",Remote - Data Reporting Analyst,$70 an hour,20 days ago
JumpCloud,Principal Data Engineer,"$195,000 a year",2 days ago
MCL Solutions,Supply Chain Data Analytics / Science Co-Op,$30 an hour,1 day ago
Humana Inc,Data Reporting Analyst,"$52,500 - $72,300 a year",11 days ago
Department of the Air Force - Air Force Materiel...,Data Scientist,"$65,370 - $91,765 a year",1 day ago
"Workday, Inc",Senior Technical Consultant - Data Conversion,"$111,300 - $166,900 a year",Today
Capital One,"Principal Data Scientist, Experimentation & Personalization","$165,100 - $188,500 a year",15 days ago
"Zachary Piper Solutions, LLC",Data Integrator - Clearance Required - TS/SCI CI Poly,"$170,000 - $180,000 a year",13 days ago
UnitedHealth Group,Sparcs (X12) Sr. Data Analyst - Remote,"$88,000 - $173,200 a year",Today
CyberTec,Data Security Engineer,$85 an hour,4 days ago
TE Connectivity,Data Engineering Intern,$18 - $39,11 days ago
Oracle,Director Data Center Design and Construction,"$139,300 - $291,900 a year",Today
University of Rochester,Health Data Coordinator III,$18.16 - $24.52 an hour,12 days ago
University of Texas M.D. Anderson,"Coordinator, Research Data - Lymphoma Myeloma","$36,000 - $45,000 a year",1 day ago
Memora Health,Senior Data Analyst,"$150,000 - $200,000 a year",12 days ago
Recruit Monitor,Data Entry Assistant / Entry Level - Remote,$18 - $22 an hour,27 days ago
Recruit Monitor,Data Entry Assistant / Entry Level (Remote),$18 - $22 an hour,27 days ago
Northrop Grumman,Manager Data Analytics 2,"$119,300 - $207,100 a year",16 days ago
Comcast,Principal Cyber Data Analyst (Customer Facing),"$125,000 - $150,000 a year",12 days ago
Edwards Lifesciences,"Manager, Clinical Data Management, Critical Care (Remote USA)","$120,000 - $170,000 a year",4 days ago
State of Utah,"Health Data Analyst, DHHS Data, Systems, & Evaluations",$18.75 - $34.05 an hour,1 day ago
Capital One,"Manager, Data Engineering","$201,400 - $229,900 a year",10 days ago
Kroll,Senior Data Engineer,"$50,000 - $125,000 a year",2 days ago
randstad,3rd Shift Seasonal Data Entry - in-Person Role,$19 - $20 an hour,Today
randstad,1st Shift Seasonal Data Entry - in-Person Role,$17 - $18 an hour,Today
General Dynamics,Data Engineer - TS/SCI W. Polygraph,"$69,722 - $116,438 a year",1 day ago
9to9 Software Solutions LLC,Data Engineer - Foster City CA - NEED Locals - Hybrid,"$7,075 a month",13 days ago
PrideStaff,Data Entry Specialist,$17 an hour,3 days ago
Northrop Grumman,Senior Principal Data Scientist,"$139,700 - $209,500 a year",28 days ago
Atlassian,Principal Data Analyst - Enterprise & Sales,"$149,100 - $198,800 a year",30+ days ago
WEX,Senior Data Engineer,$100 - $133,28 days ago
Prudential Financial,PGIM Portfolio Advisory - Data Engineer,"$120,000 - $155,000 a year",2 days ago
ManTech International,Salesforce Data Engineer,"$90,200 - $149,600 a year",28 days ago
CVS Health,Sr Data Architect - Security,"$92,700 - $185,400 a year",18 days ago
CVS Health,Sr. Software Engineer - Data Engineer,"$94,500 - $196,000 a year",30+ days ago
Unreal Gigs,Senior Data Engineer,"$150,000 - $200,000 a year",12 days ago
Precise Solutions,Data Quality Analyst,"$138,000 a year",4 days ago
Job On Remote Online USA,Data Entry (TEMP),$18 - $25 an hour,27 days ago
ServiceNow,Digital Data Analytics Manager,"$116,600 - $203,900 a year",9 days ago
General Dynamics,Data Center Architect,"$157,250 - $212,750 a year",1 day ago
Randstad Digital,"2 Data Engineers (SQL, Python, Teradata, Power BI,...",$55 - $60 an hour,13 days ago
Autodesk,Lifecycle Marketing Senior Data Analyst,"$112,200 - $181,610",12 days ago
CVS Health,"Manager, Data Analytics - Pharmacy Product Development","$63,300 - $139,200 a year",Today
Data Entry Direct,Entry Level Data Entry Work from Home Clerks,"$15,000 a month",3 days ago
Mommy Jobs Online,Data Entry Form Submitter,$475 - $550 a week,1 day ago
Green Dot Public Schools California,Ca: Data & Reporting Analyst,"$71,000 - $77,000 a year",30+ days ago
Public Consulting Group,Sr Data Analyst - Education,"$70,000 - $90,000 a year",Today
Maxion Research,Virtual Data Entry Clerk,$35 - $250,Today
FocusGroupPanel,Remote Data Entry Clerk,$35 - $250,Today
FocusGroupPanel,Virtual Data Entry Clerk,$35 - $250,Today
Discord,"Senior Data Science Manager, Analytics","$263,000 - $289,500 a year",6 days ago
Community Solutions,Data Analyst,"$76,834 - $89,406",4 days ago
ManTech International Corporation,Sr. Data Scientist,"$122,600 - $204,200 a year",12 days ago
"J Harlan Group, LLC",Vice President Data Architect Technology Data Global Investment Firm,"$175,000 - $250,000 a year",1 day ago
Unreal Gigs,Lead Data Engineer,"$150,000 - $200,000 a year",12 days ago
VF Corporation,Senior Data Analytics Devops Engineer,"$123,000 a year",3 days ago
People Integra LLC,Remote - Data Analyst,$63,2 days ago
Workoo Technologies,Part Time Data Entry Clerk - Remote,Up to $20 an hour,2 days ago
Sentara,Senior Cyber Security Data Protection Engineer,"$81,572 - $135,954 a year",1 day ago
Ally,Manager - Data Management,"$110,000 - $145,000 a year",2 days ago
Unreal Gigs,Senior Data Scientist,"From $170,000 a year",Today
BNY Mellon,"Principal, Data Architect","$108,000 - $210,000 a year",6 days ago
Meta,"Data Engineer, Analytics","$179,692 - $196,900 a year",Today
Unreal Gigs,Senior Data Systems Engineer,"From $170,000 a year",2 days ago
Smartsheet,Sr. Data Scientist I,"$118,800 - $172,800 a year",9 days ago
Job On Remote Online USA,Data Control Clerk II,$33 - $45 an hour,27 days ago
Etsy,"Staff Product Manager, Data Pipelines","$172,000 - $224,000 a year",20 days ago
WEX Inc,Sr. Data Analyst,"$102,000 - $135,000 a year",Today
Deutsche Bank,Senior Google Cloud Platform (GCP) Data Engineer - Associate,"$85,000 - $120,750 a year",2 days ago
Ava Labs,Data Engineer,"$123,200 - $154,000 a year",2 days ago
Unreal Gigs,Senior Cloud Data Engineer,"From $170,000 a year",2 days ago
Discover,Manager Data Engineering,"$122,990 - $175,600 a year",2 days ago
VLink Inc,PDH Lead ( Product Data Hub),$60 - $65 an hour,10 days ago
Recruit Monitor,Remote Work from Home Data Entry Clerk / Typing,From $15 an hour,27 days ago
Data Entry Direct,Admin Clerical Data Entry-Writers Work at Home,"$15,000 a month",4 days ago
ManTech International,Data Scientist for Salesforce Applications,"$90,200 - $149,600 a year",Today
Addison Group,Data Engineer,"$110,000",2 days ago
University of Michigan,Senior Data Project Manager,"$75,000 - $85,000 a year",1 day ago
Focus School Software,Data Scientist,"$91,751 - $110,496 a year",4 days ago
ManTech International Corporation,Document Management Data Engineer,"$111,400 - $185,700 a year",12 days ago
Integrated Data Services,Aflcmc Afsat - Business Data Analyst,"$80,000 - $120,000 a year",30+ days ago
LiveRamp,Product Manager/Senior Product Manager - Data Transformation,"$135,000 - $170,000 a year",4 days ago
Society of Exploration Geophysicists,Data Scientist - Data Quality,"$100,000 - $125,000 a year",12 days ago
Edgewater Federal Solutions,Data Loss Prevention Engineer,"$150,000 - $200,000 a year",12 days ago
Visa,"Senior Manager, Data Science","$145,400 - $210,850 a year",19 days ago
Maxion Research,Remote Data Entry Specialist,$35 - $250,1 day ago
Metropolitan Transportation Authority,Manager Data Analysis - Ridership,"$83,985 - $110,230 a year",2 days ago
Leidos,HC Data Analyst - Senior,"$122,200 - $220,900 a year",25 days ago
CVS Health,Lead Data Scientist - PBM Analytical Products,"$118,450 - $236,900 a year",Today
"J Harlan Group, LLC",Vice President Data Architect - Technology & Data - Global Investment...,"$175,000 - $250,000 a year",2 days ago
ION Group,Data Entry Specialist,$20 an hour,3 days ago
Job On Remote Online USA,Data Entry PRD Specialist,$33.5 - $45.0 an hour,27 days ago
ONEOK,Data Engineer,"$94,000 - $140,000 a year",3 days ago
Ankura,"Data Strategy Lead, Data & Technology","$110,000 - $240,000 a year",1 day ago
Pitchbook,Sr. Data Engineer,"$180,000 - $200,000 a year",1 day ago
Lee Health,Oncology Data Specialist,$22.78 - $29.62 an hour,20 days ago
"Detroit Action, a project of Tides Advocacy",Data Associate,"$50,000 - $60,000 a year",11 days ago
Guardian Life,Data Architect Lead,"$91,260 - $149,925 a year",1 day ago
ManpowerGroup,Data Warehouse Mainframe Lead,$60 - $65 an hour,1 day ago
T. Rowe Price,"Senior Business Analyst, Data Management and Reporting","$114,500 - $195,000 a year",30+ days ago
Sumitomo Mitsui Banking Corporation,Senior Data Engineer - Capital Markets,"$145,000 - $189,000 a year",1 day ago
State of California,Research Data Analyst I,"$4,213 - $4,787 a month",1 day ago
GovX,Cloud Data Engineer,"$130,000 - $150,000 a year",4 days ago
Outside,Data Warehouse Engineer,"$85,000 - $115,000 a year",1 day ago
Blavity Inc,Data Engineer,"$120,000 - $140,000 a year",12 days ago
University of Wisconsin-Green Bay,Student Success Data & Retention Strategist,"$50,000 a year",2 days ago
Karsun Solutions LLC,Data Engineer,"$125,000 - $165,000 a year",9 days ago
ZoomInfo Technologies LLC,"Manager, Data Science","$192,000 - $264,000 a year",Today
Worldwide Insurance Services,Senior Developer - Data Warehouse,"$102,809 - $133,652",Today
Capital One,"Senior Manager, Data Science - Business Card & Payments","$234,700 - $267,900 a year",10 days ago
Leidos,Scientific Data Visualization Specialist,"$101,400 - $183,300 a year",18 days ago
Maxion Research,Remote Data Entry Clerk,$35 - $250,2 days ago
Reddit,"Senior Data Engineer, Experimentation Platform","$190,800 - $267,100 a year",6 days ago
HealthCare Support,Data Scientist,"$100,000 - $125,000 a year",12 days ago
Healthfirst,Financial Data Analyst,"$67,200 - $97,155 a year",3 days ago
CVS Health,Senior Data Engineer - Machine Learning,"$92,700 - $201,900 a year",30+ days ago
,Senior Data Analyst - Education,"$70,000 - $90,000 a year",2 days ago
AURA TECHNOLOGIES LLC,Head of Data Science Research and Development [usa- Remote,"$150,000 - $200,000 a year",12 days ago
Ajah,Data Scientist - Givingtuesday,"$40,000 - $50,000 a year",3 days ago
NTT DATA Business Solutions,Data Migration Lead,"$133,515 - $195,304 a year",2 days ago
GeoBlue,Data Analyst (Operations),"$57,411 - $73,199",11 days ago
LinkedIn,Sr Staff Data Scientist - Flagship Applied Science,"$180,000 - $300,000",2 days ago
GEICO,"Senior Manager, Data Finance","$120,000 - $261,500 a year",2 days ago
Intelliswift,Data Architect IV,$90 - $94 an hour,2 days ago
Esri,Product Engineer II - Arcgis Data Engineer,"$72,800 - $124,800 a year",8 days ago
Fidelity Investments,Senior Pension Data Analyst,"$63,000 - $100,000 a year",15 days ago
Stryker,"Architect, Data & Analytics Cloud Platform (Hybrid)","$122,800 - $271,400 a year",18 days ago
Cynet Systems,Data Architect - Remote / Telecommute,$70 - $80,2 days ago
C4 Technical Services,Data Scientist,"$80,000 - $100,000 a year",12 days ago
RICEFW Technologies Inc,VITA - Data Architect  - 100% Remote with Some in Person Meetings,$85 an hour,1 day ago
Lockheed Martin Corporation,Mission Data Scientist,"$80,000 - $100,000 a year",12 days ago
Bechtel Corporation,Automation Engineer (Data Analytics),"$105,060 - $160,220 a year",3 days ago
Tradeweb,Data Engineer,"$120,000 - $240,000 a year",1 day ago
IO Datasphere,Certified Data Warehouse Project Manager,$60 - $65,2 days ago
Angeion Group LLC,Data Analyst,"$80,000 - $90,000 a year",7 days ago
Autodesk,"Distinguished Software Architect, AEC Data Systems","$189,000 - $305,800",14 days ago
Capital One,"Manager, Process Management - Data Management","$108,700 - $124,100 a year",1 day ago
"i6 Group, Ltd",Senior Data Engineer,"$50,000 - $60,000 a year",12 days ago
,Lead Data Product Manager,"$170,400 a year",2 days ago
Workiva,Senior Data Engineer,"$79,000 - $134,000 a year",1 day ago
People Integra LLC,Remote - Data Governance Analyst,$63,2 days ago
Ledgent Technology,Sr. Financial Data Analyst (Saas),"$100,000 - $130,000 a year",2 days ago
"Placement Services USA, Inc",Data Platform Data Architect,"$180,641 - $340,000 a year",2 days ago
Agilityconnect,"Master Data Steward  Contract-to-Hire 1 Opening 1 Day Ago $1,500...","$12,345 - $678,910",1 day ago
Outside Inc,Data Warehouse Engineer,"$85,000 - $115,000 a year",1 day ago
NEXT Insurance,"Data Scientist, Core Product Analytics","$180,000 - $220,000 a year",8 days ago
Koch Industries,Data Architect,"$150,000 - $200,000 a year",12 days ago
Salesforce,"Sr. Data Scientist, Web","$164,000 - $225,500 a year",2 days ago
Ankura,"Senior Data Architect, Data & Technology","$110,000 - $240,000 a year",1 day ago
Kaiser Permanente,Cable Engineer (Data Center),"$91,500 - $118,360 a year",2 days ago
Citi,"Sr. VP, Data Scientist - Machine Learning (Hybrid- Remote & In-Office)","$182,400 - $273,600 a year",2 days ago
ManTech International,Document Management Data Engineer,"$111,400 - $185,700 a year",29 days ago
Capital One,"Manager, Data Science - Fraud, Deep Learning","$201,400 - $229,900 a year",21 days ago
AG Consulting Partners,Data & Analytics Consultant,"$90,000 - $120,000 a year",1 day ago
Microsoft Corporation,Senior Data Engineer,"$112,000 - $218,400 a year",2 days ago
Northrop Grumman,Software Manager Data Analytics - 12361,"$119,300 - $178,900 a year",7 days ago
Rue Gilt Groupe,Data Scientist,"$110,000 - $135,000 a year",1 day ago
Carta Healthcare,Clinical Data Abstractor - GWTG - Coronary Artery Disease - Part Time,$28 - $32 an hour,4 days ago
Marsh McLennan Agency,Senior Data Engineer,"$72,900 - $127,575 a year",Today
Compri Consulting,Sr. Data Engineer,"$140,000 - $170,000",2 days ago
The Newberry Group,Cyber Data Analyst,"Up to $95,000 a year",2 days ago
Capital One,"Manager, Data Science - Card Fraud Detection","$201,400 - $229,900 a year",15 days ago
ManTech,Data Scientist for Salesforce Applications,"$90,200 - $149,600 a year",1 day ago
Experity,Revenue Operations Analyst - Data and Insights,"$66,900 - $91,000 a year",2 days ago
"IDR, Inc",Data Center Technician,"$80,000 - $95,000 a year",2 days ago
GOBankingRates,Director of Data Science - Remote,"$220,000 - $250,000 a year",1 day ago
Associated Bodywork & Massage Professionals (ABMP),"Marketing, CRM and Business Data Analyst","$70,000 - $90,000 a year",2 days ago
Pereira & O'Dell,"Data Analyst, Social + Paid Media","$65,000 - $85,000 a year",4 days ago
Kion Group AG,Principal Data Architect (Remote),"$94,000 - $198,000",2 days ago
Circle,"Senior Data Scientist, Blockchain","$147,500 - $195,000 a year",1 day ago
Clark Insurance,Senior Data Engineer,"$72,900 - $127,575 a year",1 day ago
partners,Principal Data Engineer,"$150,000 - $200,000 a year",12 days ago
Renaissance,Data Analyst,"$51,000 - $70,000 a year",3 days ago
Preferable.ai,Data Engineer(Must Have a TS/SCI Clearance),"$69,958 - $118,460 a year",2 days ago
Spokeo,Data Engineering Manager,"$164,700 - $197,100 a year",Today
Capital One,"Senior Manager, Data Engineering - Capital One Software (Remote...","$234,700 - $267,900 a year",Today
Children's Mercy KC,Neiss Data Abstractor,$22.59 an hour,3 days ago
Capital One,"Manager, Data Science - Emerging ML","$201,400 - $229,900 a year",25 days ago
Job On Remote Online USA,Data Entry Clerk Work from Home,$30 - $45 an hour,27 days ago
Capital One,"Manager - Product Management, Finance Data Experience","$160,200 - $182,800 a year",17 days ago
CVS Health,SAS/SQL Coder Data Analyst - Fully Remote,"$63,300 - $139,200 a year",30+ days ago
New Relic,Data Analyst,"$95,000 - $119,000 a year",2 days ago
Mizuho Corporate Bank,Market Products Data Domain Steward,"$190,000 - $275,000",Today
Cotiviti,Senior Data Engineer,"$108,000 - $149,000 a year",17 days ago
Northrop Grumman,Software Manager Data Analytics - 12863,"$119,300 - $178,900 a year",21 days ago
Cox Automotive,Lead Data Engineer,"$106,700 - $177,900 a year",2 days ago
NV5,Data Architect,"$150,000 - $200,000 a year",12 days ago
NES Associates,Senior Data Scientist,"$122,366 - $204,360 a year",1 day ago
General Dynamics,Data Scientist - TS/SCI with Polygraph,"$152,737 - $206,645 a year",11 days ago
"Cox Communications, Inc",Lead Data Engineer,"$106,700 - $177,900 a year",2 days ago
